long,lat,tipo
-58.389601,-34.600696,Led
-58.388114,-34.600636,Led
-58.386756,-34.600571,Led
-58.385332,-34.600487,Led
-58.383973,-34.600432,Led
-58.383923,-34.60145,Led
-58.385247,-34.60157,Led
-58.386706,-34.601646,Led
-58.385199,-34.60267,Led
-58.386636,-34.602754,Led
-58.383619,-34.602619,Led
-58.391199,-34.60309,Led
-58.392394,-34.603135,Led
-58.389548,-34.601793,Led
-58.394113,-34.602057,Led
-58.403634,-34.603395,Led
-58.399559,-34.603327,Led
-58.39694,-34.603313,Led
-58.402214,-34.603418,Led
-58.405166,-34.603322,Led
-58.400903,-34.603429,Led
-58.407417,-34.603002,Led
-58.395431,-34.603278,Led
-58.393997,-34.603223,Led
-58.391315,-34.6019,Led
-58.395542,-34.602154,Led
-58.411753,-34.604091,Led
-58.41036,-34.604015,Led
-58.408917,-34.604104,Led
-58.407815,-34.604254,Led
-58.406648,-34.604409,Led
-58.405481,-34.604543,Led
-58.40363,-34.604734,Led
-58.402135,-34.604698,Led
-58.400839,-34.604667,Led
-58.399484,-34.604632,Led
-58.398232,-34.60456,Led
-58.396787,-34.604497,Led
-58.395299,-34.604482,Led
-58.39386,-34.604453,Led
-58.392296,-34.604423,Led
-58.39082,-34.604324,Led
-58.389404,-34.604213,Led
-58.3879,-34.604092,Led
-58.386531,-34.603989,Led
-58.385128,-34.603909,Led
-58.383709,-34.603826,Led
-58.383623,-34.60509,Led
-58.392193,-34.605631,Led
-58.390794,-34.605525,Led
-58.389347,-34.605438,Led
-58.393702,-34.605758,Led
-58.389471,-34.603007,Led
-58.388043,-34.601705,Led
-58.402439,-34.600078,Led
-58.406313,-34.599641,Led
-58.387953,-34.602891,Led
-58.399817,-34.601112,Led
-58.3879,-34.605351,Led
-58.396599,-34.605944,Led
-58.397981,-34.606007,Led
-58.399336,-34.606056,Led
-58.402054,-34.606252,Led
-58.403539,-34.606363,Led
-58.405931,-34.60653,Led
-58.405735,-34.605546,Led
-58.409391,-34.605238,Led
-58.395141,-34.605847,Led
-58.386312,-34.607602,Led
-58.411347,-34.606523,Led
-58.404665,-34.606445,Led
-58.400722,-34.606146,Led
-58.409995,-34.606707,Led
-58.410786,-34.605091,Led
-58.385046,-34.605176,Led
-58.386475,-34.605268,Led
-58.409801,-34.602531,Led
-58.400906,-34.602202,Led
-58.409176,-34.600827,Led
-58.403597,-34.601943,Led
-58.398373,-34.60333,Led
-58.398506,-34.602192,Led
-58.406933,-34.612486,Led
-58.407133,-34.607724,Led
-58.406324,-34.603159,Led
-58.400405,-34.610903,Led
-58.397458,-34.610689,Led
-58.390375,-34.611395,Led
-58.393315,-34.6116,Led
-58.411787,-34.609205,Led
-58.389424,-34.61028,Led
-58.386234,-34.609943,Led
-58.383417,-34.609755,Led
-58.383448,-34.609182,Led
-58.384854,-34.609258,Led
-58.386257,-34.609314,Led
-58.387259,-34.609442,Led
-58.387663,-34.608894,Led
-58.387575,-34.609989,Led
-58.389179,-34.609091,Led
-58.389065,-34.61008,Led
-58.390563,-34.609186,Led
-58.39129,-34.610149,Led
-58.391947,-34.609161,Led
-58.391855,-34.610321,Led
-58.393332,-34.610428,Led
-58.393396,-34.609269,Led
-58.394871,-34.609375,Led
-58.396287,-34.609477,Led
-58.397592,-34.609567,Led
-58.399109,-34.60969,Led
-58.400471,-34.609795,Led
-58.401783,-34.609873,Led
-58.403325,-34.609959,Led
-58.404572,-34.610034,Led
-58.405939,-34.610104,Led
-58.407662,-34.610236,Led
-58.408888,-34.610318,Led
-58.410356,-34.610411,Led
-58.411733,-34.610513,Led
-58.408803,-34.60915,Led
-58.406485,-34.608903,Led
-58.405995,-34.609354,Led
-58.404676,-34.608754,Led
-58.403398,-34.608688,Led
-58.401906,-34.608609,Led
-58.400556,-34.608541,Led
-58.410386,-34.609131,Led
-58.397732,-34.608356,Led
-58.396389,-34.608259,Led
-58.394951,-34.608149,Led
-58.39347,-34.608046,Led
-58.39204,-34.607974,Led
-58.39068,-34.607908,Led
-58.413102,-34.610624,Led
-58.387739,-34.607699,Led
-58.41146,-34.613018,Led
-58.389272,-34.607807,Led
-58.399215,-34.608463,Led
-58.384816,-34.609848,Led
-58.383587,-34.606225,Led
-58.385004,-34.606335,Led
-58.386382,-34.606424,Led
-58.387818,-34.606515,Led
-58.389318,-34.606623,Led
-58.390753,-34.606691,Led
-58.39212,-34.606778,Led
-58.393572,-34.606907,Led
-58.395032,-34.607043,Led
-58.396475,-34.607143,Led
-58.39786,-34.607222,Led
-58.399258,-34.607308,Led
-58.400636,-34.60738,Led
-58.401969,-34.607459,Led
-58.403468,-34.607516,Led
-58.404751,-34.607614,Led
-58.406126,-34.607728,Led
-58.407695,-34.607819,Led
-58.408728,-34.612598,Led
-58.41046,-34.607928,Led
-58.411785,-34.607856,Led
-58.403282,-34.611098,Led
-58.401677,-34.610985,Led
-58.383511,-34.60743,Led
-58.399063,-34.610802,Led
-58.384922,-34.607524,Led
-58.396225,-34.6106,Led
-58.394804,-34.610508,Led
-58.411687,-34.611841,Led
-58.410243,-34.61155,Led
-58.408815,-34.611457,Led
-58.407356,-34.611353,Led
-58.405836,-34.611245,Led
-58.404494,-34.61118,Led
-58.405588,-34.612406,Led
-58.391791,-34.611495,Led
-58.394749,-34.611682,Led
-58.387474,-34.611176,Led
-58.40618,-34.60824,Led
-58.372801,-34.598498,Led
-58.374215,-34.598593,Led
-58.375371,-34.598679,Led
-58.37683,-34.598783,Led
-58.378282,-34.598907,Led
-58.379743,-34.598963,Led
-58.381269,-34.599033,Led
-58.382094,-34.599066,Led
-58.388941,-34.611286,Led
-58.382526,-34.599085,Led
-58.381344,-34.597834,Led
-58.382163,-34.597899,Led
-58.379831,-34.59771,Led
-58.382601,-34.597927,Led
-58.376909,-34.597579,Led
-58.378363,-34.597643,Led
-58.375378,-34.599871,Led
-58.381193,-34.600211,Led
-58.382033,-34.600273,Led
-58.382414,-34.600319,Led
-58.376798,-34.599951,Led
-58.381105,-34.601351,Led
-58.381959,-34.60138,Led
-58.382367,-34.601391,Led
-58.381047,-34.602721,Led
-58.381921,-34.602548,Led
-58.382284,-34.602573,Led
-58.378217,-34.600063,Led
-58.378183,-34.601205,Led
-58.37967,-34.600113,Led
-58.3796,-34.601268,Led
-58.379548,-34.60245,Led
-58.378121,-34.602372,Led
-58.37669,-34.602296,Led
-58.375334,-34.601042,Led
