idSiniestro,NumVictimas,Anio,Mes,Dia,H,LugarHecho,TipoDeCalle,Calle,Cruce,Comuna,PosX,PosY,Participantes,Victima,Acusado,DiaSemana,Rol,Sexo,Edad,FechaFallecimiento,RangoHorario,Semestre
2016-0028,1,2016,Marzo,2,10.0,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,Con Cruce,1,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS,Miércoles,PEATON,MASCULINO,50.0,2016-03-02 00:00:00,mañana,1
2016-0029,1,2016,Marzo,4,17.0,AV CABILDO Y DEHEZA,AVENIDA,CABILDO AV.,Con Cruce,12,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS,Viernes,PEATON,MASCULINO,38.0,2016-03-04 00:00:00,tarde,1
2016-0031,1,2016,Marzo,8,12.0,AV GRAL PAZ Y AV CNEL ROCA,AVENIDA,"PAZ, GRAL. AV.",Con Cruce,8,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS,Martes,CONDUCTOR,MASCULINO,21.0,SD,tarde,1
2016-0034,1,2016,Marzo,12,12.0,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.",Con Cruce,4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,Sábado,PEATON,MASCULINO,52.0,2016-03-12 00:00:00,tarde,1
2016-0035,1,2016,Marzo,13,6.0,AV CORRIENTES Y AV CALLAO,AVENIDA,CORRIENTES AV.,Con Cruce,3,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS,Domingo,CONDUCTOR,MASCULINO,34.0,2016-03-13 00:00:00,mañana,1
2016-0036,1,2016,Marzo,14,0.0,HERRERA Y ARISTOBULO DEL VALLE,CALLE,HERRERA,Con Cruce,4,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS,Lunes,PASAJERO_ACOMPAÑANTE,MASCULINO,36.0,2016-03-14 00:00:00,madrugada,1
2016-0037,1,2016,Marzo,19,11.0,AV. EVA PERON Y QUIRNO,AVENIDA,LAFUENTE AV.,Con Cruce,7,-58.46275892,-34.64358293,MOTO-MOTO,MOTO,MOTO,Sábado,CONDUCTOR,MASCULINO,20.0,2016-03-19 00:00:00,mañana,1
2016-0038,1,2016,Marzo,21,8.0,AV GRAL PAZ COLECTORA Y ZUVIRIA,AVENIDA,"PAZ, GRAL. AV.",Con Cruce,8,-58.49683458,-34.67892743,PEATON-PASAJEROS,PEATON,PASAJEROS,Lunes,PEATON,MASCULINO,29.0,2016-03-21 00:00:00,mañana,1
2016-0039,1,2016,Marzo,23,1.0,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,"MITRE, BARTOLOME",Con Cruce,3,-58.40603217,-34.60883960,MOTO-PASAJEROS,MOTO,PASAJEROS,Miércoles,CONDUCTOR,MASCULINO,20.0,2016-03-23 00:00:00,madrugada,1
2016-0041,2,2016,Marzo,29,11.0,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,Con Cruce,7,-58.46076550,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,Martes,CONDUCTOR,MASCULINO,54.0,2016-03-29 00:00:00,mañana,1
